"Geneid","withDOX_1_S4","withDOX_2_S5","withDOX_3_S6","woDOX_1_S1","woDOX_3_S3","woDOX_2_S2"
"Gm38376",52,54,40,20,36,38
"Gm37409",23,21,28,16,18,18
"Gm27881",4,0,2,0,1,4
"Gm38223",5,8,9,3,6,3
"Gm37702",29,20,19,12,24,24
"Gm23169",0,0,1,1,2,1
"Gm38120",69,40,47,48,56,77
"Gm38380",33,18,33,14,24,21
"Gm29570",0,7,1,0,3,1
"Gm7593",0,1,0,0,0,1
"Tram1",3834,3961,3993,1925,3310,3173
"Lactb2",739,836,751,490,715,816
"Gm38319",18,25,17,13,35,29
"Xkr9",0,0,2,1,0,0
"Gm26273",0,0,0,0,0,0
"Gm5523",2,2,2,0,2,2
"Gm36947",0,0,0,0,0,0
"Gm25491",0,0,0,0,0,0
"Gm37400",0,0,0,1,0,0
"Eya1",432,383,379,262,468,433
"Gm22616",0,0,1,1,1,4
"Gm37444",0,0,1,1,2,3
"Gm9947",0,0,0,0,0,0
"Msc",0,0,0,0,0,0
"Gm37412",0,0,0,0,0,0
"Smt3h2-ps4",1,0,0,0,0,0
"Rpl5-ps1",7,5,14,5,3,7
"Trpa1",0,0,0,0,0,0
"Gm26345",0,0,0,0,0,0
"Gm10566",0,3,0,0,0,1
"Kcnb2",0,0,0,0,0,0
"Gm38116",0,0,0,0,0,0
"Gm37138",0,0,1,0,0,0
"Gm25227",0,0,0,0,0,0
"Gm25168",0,0,0,0,0,0
"Gm6060",0,0,0,0,0,0
"Gm28669",0,0,0,0,0,0
"Terf1",643,657,661,456,636,645
"Gm37509",39,29,28,26,43,35
"Sbspon",20,18,24,22,35,36
"Gm23259",0,0,0,0,0,0
"Gm7634",0,0,1,0,0,0
"4930444P10Rik",0,1,2,1,1,0
"Rpl7",24153,24588,23924,14788,27510,25981
"Rdh10",742,766,816,394,752,699
"Gm38249",0,1,1,1,0,1
"Gm28095",6,4,4,4,11,3
"Stau2",452,457,532,428,727,706
"Gm7568",2,1,2,3,4,6
"Ube2w",986,1005,929,556,940,950
"Gm38342",16,32,17,12,25,20
"Tceb1",1609,1739,1672,904,1714,1568
"D030040B21Rik",3,9,1,0,3,0
"Gm7654",0,1,0,0,0,1
"Tmem70",540,522,567,332,585,600
"Ly96",94,111,99,50,96,107
"Gm29649",0,0,0,0,0,0
"Gm5828",17,24,16,1,16,11
"Gm28376",1,2,3,0,1,2
"4921511E07Rik",0,0,1,0,0,0
"Jph1",60,41,73,61,75,74
"Gm28783",0,0,0,0,0,0
"Gdap1",32,34,12,13,16,11
"Gm28784",0,0,0,0,0,0
"Gm28785",0,0,0,0,0,0
"Gm5251",0,0,0,0,1,1
"Rbm6-ps1",4,9,10,4,17,11
"Gm6075",0,0,0,0,0,0
"Gm25166",0,0,0,0,0,0
"Pi15",1504,1678,1676,464,853,888
"Gm28154",112,114,142,40,59,80
"Gm16070",15,18,15,8,11,15
"Crispld1",41,41,29,15,25,26
"Gm28153",1,0,1,0,0,0
"Gm7690",0,0,0,0,0,0
"Gm18775",0,0,0,0,0,0
"Gm17969",0,1,0,0,0,0
"RP24-571A14.6",0,0,0,0,0,0
"Gm28755",0,0,0,0,0,0
"Gm28756",0,0,0,0,0,0
"Crisp4",0,0,0,0,0,1
"Defb44-ps",0,0,0,0,0,0
"Defb18",1,1,0,0,0,0
"Defb41",13,9,9,9,6,16
"Gm17837",0,0,1,0,4,0
"Gm29006",1,0,0,1,0,1
"Gm5252",0,0,0,0,0,0
"Gm24075",0,0,0,0,0,0
"Gm28343",0,0,0,0,0,0
"Gm28344",0,0,0,0,0,0
"Gm15825",0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,0
"Gm10075",1,1,0,0,1,0
"Tfap2b",0,0,0,0,0,0
"Gm28340",0,0,0,0,0,0
"Gm28341",0,0,0,0,0,0
"Gm4849",4,0,2,1,1,2
"Gm24633",0,0,0,0,0,0
"Gm38382",0,0,0,0,0,0
"Pkhd1",0,0,1,0,0,0
"Gm37315",0,0,0,0,0,0
"4930486I03Rik",0,0,0,0,0,0
"Gm15795",0,0,0,0,1,0
"Gm24162",0,0,0,0,0,0
"Mir206",0,0,0,0,0,0
"Gm28653",0,0,0,0,0,0
"Mir133b",0,0,0,0,0,0
"Il17a",0,0,0,0,0,0
"Il17f",4,2,1,2,5,6
"Mcm3",5770,5976,6724,2963,6067,4868
"Gm20587",0,0,0,0,0,0
"Gm28065",0,0,0,0,0,0
"Gm24723",0,0,0,0,0,0
"6720483E21Rik",3,1,0,2,3,4
"Paqr8",287,333,296,108,185,187
"Gm24171",0,0,3,0,0,0
"Gm28064",0,0,0,0,0,0
"Efhc1",127,136,78,79,74,102
"Tram2",947,985,907,563,927,929
"Gm28287",1,1,3,1,0,0
"Gm2693",0,0,0,0,0,0
"Tmem14a",72,80,77,49,61,73
"Gm38224",7,2,5,2,2,1
"Gsta3",18,20,16,5,15,8
"Gm28836",0,0,0,0,0,0
"Gm7094",0,0,0,1,0,0
"Gm4956",0,0,0,0,0,0
"Gm21909",0,0,0,0,0,0
"Khdc1a",0,0,0,0,0,0
"Gm16329",0,0,0,0,0,0
"Gm16327",0,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0
"Gm2709",0,0,0,0,0,0
"Gm16533",0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0
"Gm16328",0,0,0,0,0,0
"Kcnq5",0,0,0,0,0,1
"Gm36949",0,0,0,0,0,0
"Gm7658",58,55,55,31,50,71
"Gm38243",0,0,0,0,0,0
"Gm26580",0,0,0,0,0,0
"Gm5696",0,0,0,0,0,0
"Gm28239",0,0,0,0,0,0
"Rims1",0,0,0,0,0,0
"Gm26866",0,0,0,0,0,0
"Gm7761",0,0,0,0,0,0
"Gm29506",0,0,0,0,0,0
"4933415F23Rik",0,0,0,0,0,0
"Gm24176",0,0,0,0,0,0
"Gm6420",3,0,0,1,3,0
"Mir30a",2,0,1,0,1,5
"Gm27028",6,2,6,3,7,8
"Mir30c-2",0,0,0,0,0,0
"Gm29107",0,1,0,0,0,1
"Gm20954",0,1,1,1,1,1
"Ogfrl1",799,833,851,900,1613,1524
"Gm7784",0,0,3,0,1,0
"Gm28822",0,0,0,0,0,0
"B3gat2",787,830,731,484,834,841
"Smap1",1132,1122,1028,727,1169,1177
"Sdhaf4",235,259,221,138,221,262
"Gm26524",32,32,25,17,24,34
"Fam135a",1510,1537,1629,1024,1766,1787
"Gm37580",3,7,4,2,1,4
"Gm26607",0,0,0,0,0,0
"Col9a1",0,1,0,0,0,0
"Col19a1",0,0,0,0,0,0
"Gm26418",0,0,0,0,0,0
"Tubb4b-ps2",0,1,3,0,6,4
"Gm28439",0,0,0,0,0,0
"Gm10222",9,9,20,16,10,16
"Gm28438",68,98,135,65,100,91
"Gm28437",5,18,23,8,13,10
"Gm10925",1,0,0,0,2,2
"Gm28661",3,4,2,1,5,0
"Gm29216",21,23,22,6,23,12
"Lmbrd1",931,923,829,490,829,889
"Gm28594",0,0,0,0,0,0
"Gm28237",0,0,0,0,0,0
"Gm9443",0,0,0,0,0,0
"Gm29414",0,0,0,0,0,0
"Adgrb3",0,0,0,0,0,0
"Gm15702",0,0,0,0,0,0
"Gm20172",0,0,0,0,0,0
"Gm22260",0,0,0,0,0,0
"Gm37543",0,0,0,0,0,0
"Gm37331",0,0,0,0,0,0
"Gm37211",0,0,0,0,0,0
"Gm37862",0,0,0,0,0,0
"Gm38286",0,0,0,0,0,0
"Gm37880",0,0,0,0,0,0
"Gm25294",0,0,0,0,0,0
"Gm37011",0,0,0,0,0,0
"Gm29214",0,0,0,0,0,0
"Gm37051",0,0,0,0,1,0
"Gm38260",0,0,0,0,0,0
"Gm37628",0,0,0,0,0,0
"8030445P17Rik",0,0,0,0,0,0
"Gm38198",0,0,0,0,0,0
"Gm37077",0,0,0,0,1,0
"Gm37895",0,0,0,0,0,0
"Gm36952",0,0,0,0,0,0
"Gm37602",0,0,0,0,0,0
"2900022M07Rik",0,0,0,0,0,0
"2900002M20Rik",0,0,2,0,0,0
"Gm9884",0,0,0,0,0,0
"Gm18443",0,0,0,0,0,0
"Gm19123",0,0,0,0,0,0
"Gm24064",0,0,0,0,0,0
"4931408C20Rik",0,0,0,0,0,0
"n-R5s209",0,0,0,0,0,0
"Gm19641",0,0,0,0,0,0
"Gm5524",0,0,0,0,0,0
"Gm18776",0,0,0,0,0,0
"Gm19028",0,0,0,0,1,1
"Gm38089",0,0,0,0,0,0
"Gm7846",6,6,2,2,8,7
"Gm597",0,1,0,0,0,0
"Gm5697",0,1,2,0,2,0
"Gm6462",0,0,0,0,0,0
"Gm18033",0,0,0,0,0,0
"Gm25586",0,0,0,0,0,0
"Gm22679",0,0,0,0,0,0
"Gm23785",0,0,0,0,0,0
"Mir6342",0,0,0,0,0,0
"Gm5525",8,6,6,1,4,8
"Gm7858",0,0,0,0,0,0
"Gm23771",0,0,0,0,0,0
"Gm27430",0,0,0,0,0,0
"Gm9898",0,0,0,0,0,0
"Gm6473",0,0,0,0,0,0
"Gm2914",0,0,0,0,0,0
"Phf3",5354,5179,5459,3091,4926,4828
"Gm37522",57,58,64,25,56,78
"Gm37906",99,105,103,67,119,105
"Ptp4a1",720,703,779,423,793,776
"Gm5698",0,0,0,0,1,0
"Gm9458",0,0,0,0,0,0
"Gm5699",0,0,1,0,0,0
"Gm29669",0,0,0,0,0,0
"Gm28644",0,0,0,0,0,0
"Gm27362",0,0,0,0,0,0
"4931428L18Rik",0,0,0,0,0,0
"Gm29128",0,0,0,0,0,0
"Gm7893",0,0,0,0,1,0
"Lgsn",0,0,0,0,0,0
"Pih1d3",0,0,0,0,0,0
"Gm26145",0,0,0,0,0,0
"Gm4850",0,0,1,0,0,0
"Gm28645",0,0,0,0,0,0
"Gm6489",0,0,0,0,0,1
"Gm10307",0,0,0,0,1,0
"Gm19680",18,19,10,18,15,20
"Gm23032",0,0,0,0,0,0
"Gm7910",139,105,103,99,134,145
"Khdrbs2",2,0,1,0,1,0
"Gm25814",0,0,0,0,0,0
"Gm37999",0,0,0,0,0,0
"Gm37110",0,0,0,0,0,0
"Gm37911",0,0,0,0,0,0
"Gm9839",0,0,0,0,0,0
"Gm37792",0,0,0,0,0,0
"Gm5415",0,0,0,0,0,0
"Gm24732",0,0,0,0,0,0
"Gm37426",0,0,0,0,0,0
"Gm23024",0,0,0,0,0,0
"Gm37151",0,0,0,0,0,0
"Gm28624",0,0,0,0,0,0
"Gm37724",0,0,0,0,0,0
"Gm7114",0,1,1,0,0,0
"Gm4785",0,0,0,0,0,0
"Gm24901",0,0,0,0,0,0
"Gm37591",0,0,0,0,0,0
"Gm2987",0,0,0,0,0,0
"Gm25792",0,0,0,0,0,0
"Gm18799",1,0,0,0,1,1
"Gm7933",0,1,0,0,0,2
"Gm23453",0,0,0,0,0,0
"Prim2",1060,1127,1200,632,1157,1022
"Gm29228",8,6,4,1,3,4
"Gm37618",24,19,29,14,34,36
"Gm17813",3,4,3,0,5,3
"1700001G17Rik",12,15,11,9,9,6
"Gm38173",4,1,2,0,3,1
"Rab23",974,963,1011,820,1273,1279
"Bag2",787,756,855,535,1085,875
"Gm37905",118,100,105,72,123,105
"Zfp451",3040,2863,3196,2046,3632,3535
"Gm15455",2,1,0,1,1,5
"Bend6",294,305,310,172,302,304
"Gm37067",19,26,20,18,18,16
"Dst",15316,13157,14379,12225,19103,17779
"Gm37354",22,10,26,22,23,27
"Gm28631",1,1,3,1,5,2
"Gm23792",0,0,0,0,2,0
"Gm38157",44,40,39,43,60,68
"Mir6896",4,3,6,1,7,3
"Gm26788",500,494,521,391,675,628
"D630036G22Rik",127,124,134,146,183,217
"A930005N03Rik",285,227,283,219,340,330
"Gm37958",0,0,0,1,0,0
"Gm37385",0,0,0,0,0,0
"Gm5266",0,0,0,0,1,0
"Gm3052",69,69,60,33,56,59
"Gm37233",736,695,664,507,694,775
"Mir5103",18,18,7,4,9,7
"Ccdc115",434,489,488,319,501,490
"Gm28306",90,99,103,46,92,82
"Imp4",1416,1536,1621,940,1732,1471
"Ptpn18",0,1,1,0,0,1
"Gm28417",0,2,1,0,4,1
"4930568A12Rik",0,0,0,0,0,0
"Prss39",0,0,0,0,1,0
"Gm28416",0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0
"Gm28419",0,0,0,0,0,0
"Prss40",0,0,0,0,0,0
"1700101I19Rik",0,0,0,0,0,0
"Amer3",0,0,0,0,0,0
"Gm28418",0,0,0,0,0,0
"Gm36984",0,0,0,0,0,0
"Gm29730",0,0,0,0,0,0
"AA619741",0,0,0,0,0,0
"Arhgef4",367,440,378,171,315,274
"Gm37224",0,0,0,0,0,0
"Gm37845",0,1,1,0,0,0
"Gm38336",109,124,104,64,94,82
"Fam168b",6300,6484,6169,3692,6595,5989
"Gm37127",95,107,72,62,84,89
"Plekhb2",1408,1501,1443,830,1440,1372
"Gm19430",0,0,0,0,0,2
"Gm37670",0,1,0,1,1,0
"Gm8009",1,1,0,0,0,0
"Gm38027",0,0,0,0,0,0
"Gm25096",0,0,0,0,0,0
"Gm37068",0,0,0,0,0,0
"Gm25634",0,0,0,0,0,0
"Gm28415",0,0,0,0,0,0
"1110002O04Rik",0,0,0,0,0,0
"Gm8022",0,0,0,0,0,0
"Gm37146",0,0,0,0,0,0
"Gm33222",0,0,0,0,0,0
"4930535G08Rik",0,0,0,0,0,0
"Gm38049",0,0,1,1,1,3
"Hs6st1",689,713,791,414,762,695
"Gm37335",129,171,171,78,155,153
"Gm33280",42,30,55,41,56,48
"Uggt1",6991,7267,7466,4199,7348,6865
"Mir6897",10,6,2,1,5,3
"Neurl3",3,4,9,5,4,4
"Arid5a",294,300,266,195,249,310
"4930403P22Rik",2,5,5,2,8,7
"Kansl3",1615,1662,1643,931,1605,1456
"Mir6898",1,3,4,1,0,2
"Fer1l5",59,71,46,50,75,74
"Lman2l",279,267,217,158,258,256
"Cnnm4",425,414,372,216,404,330
"Gm37909",11,4,11,7,10,14
"AC084391.1",20,22,19,12,21,14
"Cnnm3",280,293,269,163,354,285
"Gm38033",5,4,7,2,8,9
"Ankrd23",83,95,93,64,123,119
"Gm42417",101,118,119,72,137,130
"Ankrd39",112,152,135,88,148,124
"Sema4c",760,808,753,336,637,540
"D430040D24Rik",46,71,57,20,18,14
"Fam178b",1,4,3,0,1,1
"Gm6428",0,1,0,0,0,0
"Gm24133",0,0,0,0,0,0
"Cox5b",2047,2033,2131,1403,2154,2039
"Actr1b",2832,3171,3069,1974,3687,3135
"4933424G06Rik",3,5,3,2,3,1
"Gm33533",0,2,1,0,0,0
"Zap70",2,1,0,0,0,2
"Gm18828",0,0,0,0,0,0
"Tmem131",2584,2663,2667,1654,2978,2704
"Gm37506",0,1,0,1,1,0
"Gm38115",28,14,18,15,29,27
"F830112A20Rik",30,23,38,19,36,52
"Rpl12-ps1",1,1,1,0,1,3
"n-R5s210",0,0,0,0,0,0
"Vwa3b",2,1,1,0,2,4
"Gm37020",0,0,0,0,0,0
"Cnga3",2,2,2,0,0,1
"1700074A21Rik",0,1,0,0,0,1
"Inpp4a",565,536,462,380,629,616
"4930439A04Rik",6,4,6,7,4,8
"Gm37135",6,4,2,3,2,3
"Coa5",2129,2155,2211,1377,2469,2463
"Unc50",703,747,664,348,606,614
"Mgat4a",23,30,26,14,36,43
"4930594C11Rik",1,0,0,1,0,1
"Gm43213",0,0,0,1,0,0
"2010300C02Rik",0,2,0,0,2,0
"4930556I23Rik",0,0,0,0,0,0
"4930470B04Rik",0,0,0,0,0,0
"Gm19863",0,0,0,0,0,0
"Tsga10",219,194,234,126,199,219
"Gm26805",1,1,4,4,1,3
"Lipt1",137,147,154,133,218,170
"Mitd1",406,400,388,235,387,398
"Mrpl30",1258,1333,1382,772,1426,1377
"Lyg2",0,0,0,0,0,0
"Gm15457",0,0,1,0,6,1
"Lyg1",3,0,2,0,5,0
"Gm23409",2,0,0,0,0,0
"Txndc9",1863,1863,1905,1251,2071,2100
"Eif5b",2454,2362,2635,1872,3010,2767
"Rev1",1664,1799,1803,1106,1957,1773
"Gm37062",20,26,48,15,34,32
"Gm5099",0,0,0,0,0,0
"Aff3",207,187,166,129,178,219
"Gm16150",3,0,1,0,2,4
"Gm16151",1,1,2,0,0,1
"Gm16152",1,2,0,2,5,1
"Gm34727",0,1,0,0,2,0
"Gm38135",0,0,0,0,0,0
"2610300A13Rik",0,0,0,0,0,0
"Lonrf2",0,0,0,0,1,0
"Chst10",0,0,1,0,0,0
"Gm37707",0,0,0,0,0,0
"Gm6621",0,0,0,0,0,0
"Nms",0,0,0,0,0,0
"Pdcl3",1324,1365,1414,1187,1782,1753
"Gm37309",62,60,52,47,41,67
"Gm37821",0,0,0,0,0,0
"Gm37091",0,0,2,0,0,0
"Mir6349",0,0,0,0,0,0
"Npas2",13,18,12,20,38,33
"Gm20428",0,0,0,0,0,0
"Gm3617",0,1,1,1,0,0
"Rpl31",9936,10995,10821,6361,12050,10753
"Tbc1d8",480,545,462,318,589,558
"Gm37265",0,0,0,0,0,1
"Gm24826",0,0,0,0,0,0
"Cnot11",1002,1035,1090,694,1254,1165
"Gm15832",367,375,386,231,527,427
"Snord89",7,4,9,8,15,5
"Rnf149",1055,1038,1059,700,1369,1189
"Gm23722",6,10,14,7,7,4
"Gm5100",0,0,0,0,0,0
"Creg2",0,0,1,3,0,0
"D930019O06Rik",0,0,0,0,0,0
"Rfx8",0,0,0,0,4,0
"Gm3646",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,1,0
"Map4k4",6793,6756,7278,4683,7437,6934
"4930456G14Rik",0,0,0,0,0,0
"Il1r2",0,0,0,0,0,1
"Gm16894",0,0,0,0,0,0
"Gm37347",0,0,0,0,0,0
"Il1r1",2278,2280,2037,1630,2312,2674
"Gm38070",43,44,52,54,63,104
"Il1rl2",265,339,253,165,270,290
"Gm17970",5,7,6,1,8,5
"Il1rl1",28513,29104,30800,22294,38315,40290
"Il18r1",12,21,16,13,16,20
"Il18rap",67,72,79,68,74,106
"Gm35801",0,0,0,0,0,0
"Slc9a4",38,19,32,14,19,21
"Gm37435",14,12,13,4,7,7
"Slc9a2",3,0,1,0,0,1
"Gm37623",0,0,0,0,0,0
"Gm37915",116,127,106,87,143,142
"Mfsd9",157,168,152,120,190,197
"Tmem182",1,4,1,1,3,6
"Gm5973",0,0,0,0,0,0
"4930448I06Rik",0,0,0,0,0,0
"Gm28634",0,0,0,0,0,0
"Gm29260",0,0,0,0,0,0
"Gm5267",0,0,0,0,0,0
"Gm8176",0,0,0,0,0,0
"Gm9915",0,0,0,0,0,0
"Gm29664",0,0,0,0,0,0
"Gm28175",0,0,0,0,0,0
"Gm28140",0,0,0,0,0,0
"Gm37047",0,0,0,0,0,0
"Pantr1",0,0,0,0,0,0
"4930420N18Rik",0,0,0,0,0,0
"Gm20646",0,0,0,0,0,0
"Pou3f3",0,0,0,0,0,0
"Pantr2",0,0,0,0,0,0
"Dalir",0,0,0,0,0,0
"Mrps9",1011,903,977,703,1099,978
"Gm23126",0,1,1,0,3,2
"Gpr45",0,0,0,0,0,0
"Gm24001",0,0,0,0,0,0
"Tgfbrap1",844,827,805,491,847,805
"Gm28782",2,6,4,0,1,2
"8430432A02Rik",7,9,5,6,8,9
"AI597479",758,766,715,483,781,752
